"","V1","V2","V3","V6","V7"
"2",0.3,0.679961,0.94,0.31,-0.83
"5",-0.265,0.464961,-0.605,-0.205,0.075
"8",-0.315,0.724961,0.645,-0.585,0.155
"10",-0.6549805,-0.2850195,0.4750195,-0.2449805,-0.08498051
"17",-0.54,-0.470039,-0.8,0.09,-0.38
"23",-0.1749903,0.004970741,-0.06499027,-0.01499027,-0.3049903
"28",-0.4799903,0.1599707,-0.08999027,0.3600097,0.3700097
"34",0.055,0.104961,-0.935,-0.635,-0.195
"36",-0.165,0.204961,-0.385,-0.585,-0.405
"40",-2.602085e-18,0.01996101,0.17,0.21,0.19
"43",-0.065,-0.325039,-0.715,-0.415,-1.375
"44",-0.225,-0.05503899,-0.965,-0.475,-0.945
"45",-0.35,-0.280039,-0.54,-0.02,-0.31
"48",0.2175,-0.342539,-0.7225,0.0475,-0.8725
"50",0.13,-0.900039,0.47,-1.4,-2.66
"51",-0.48,-0.06003899,0.7,-0.65,-2.02
"54",-0.275,0.324961,-0.265,-0.475,-0.555
"55",-0.3449902,0.1349708,-0.4249902,-0.5149902,-0.8449902
"61",-0.3399805,0.9399805,0.1200195,-1.709981,-1.149981
"62",0.305,0.194961,0.515,-0.415,-1.185
"88",0.0975,0.267461,0.6975,-0.5525,-0.8325
"106",-0.13,0.219961,0.37,0.7,-0.59
"107",1.3325,1.422461,0.4125,-0.1575,-0.9075
"108",0.8500195,1.259981,0.7900195,-0.01998051,-0.4199805
"110",1.02499,2.314951,0.5549902,-0.2250098,-0.4650098
"112",-0.225,2.394961,2.645,-1.685,-1.145
"114",0.3450098,-0.2350292,0.2750098,0.7050098,-0.5149902
"115",0.24,0.179961,0.38,-0.01,-0.67
"117",-0.9975,-1.477539,-0.3775,-1.0075,-0.9775
"118",-1.184981,0.01498051,-0.3649805,-0.4249805,-1.044981
"132",0.83,1.049961,-0.63,0.52,-0.61
"145",-0.82,-0.740039,-2.76,-0.01,0.27
"146",0.795,0.354961,-0.205,-0.635,-0.075
"151",-0.225,-0.455039,-0.375,0.205,-0.495
"152",0.11,-0.420039,-0.31,-0.03,-0.6
"153",1.17,-0.220039,0.46,-0.92,-1.1
"157",-0.64,-0.200039,0.28,-0.88,0.24
"160",-0.16,-0.480039,0.2,-0.68,-0.38
"161",-0.04,-0.340039,-0.2,-0.15,-0.05
"162",0.145,-0.705039,0.025,-0.865,-0.305
"164",-0.0625,-0.622539,0.1075,-0.7225,-0.7025
"166",-0.1450098,-0.4050488,-0.4550098,-0.02500977,0.1849902
"172",-0.42,-0.370039,-0.07,0.66,-0.19
"175",0.015,-0.265039,0.165,1.015,-0.205
"180",1.015,0.04496101,-0.015,0.005,0.945
"181",0.9150098,1.104971,-0.4749902,-1.09499,-0.3549902
"184",0.27,-0.380039,0.15,1.03,-0.46
"190",0.155,0.07496101,0.125,-0.015,-0.405
"194",-1.0475,-0.377539,-0.0575,-0.8675,-2.2275
"200",0.01,0.159961,-0.69,-0.21,0.29
"201",0.34,0.479961,-1.14,1.734723e-18,0.46
"205",-0.1299805,-0.9700195,-0.1499805,-0.6799805,-2.549981
"217",-0.005,-0.685039,-0.455,-0.485,0.055
"218",-0.555,-1.285039,-0.335,-1.185,0.265
"220",0.33,-0.290039,-0.29,-0.15,-0.36
"232",-0.6049902,-0.5650292,0.1750098,-0.4349902,0.2750098
"234",0.89,0.269961,-0.15,-0.67,-0.64
"235",0.255,-0.125039,-0.955,-0.085,-0.675
"240",0.0075,-0.242539,-0.9525,0.5575,-0.0725
"245",-0.2,-2.440039,-0.95,-1.29,-0.72
"247",-1.71,-2.370039,-1.29,1.24,-1.5
"250",-1.24,-1.790039,-1.23,0.27,-0.89
"251",-1.1,-2.080039,-1,-0.83,-3.02
"280",-0.55,-0.360039,-0.4,-1.22,-3.18
"281",-0.63,-3.050039,-1.77,-3.12,-3.99
"282",-0.11,-0.02003899,-0.38,0.01,-0.2
"298",-0.4,0.989961,0.9,-0.76,-0.79
"301",0.935,1.224961,0.515,0.005,0.855
"302",-0.9425,-0.232539,-0.4825,0.3075,0.4975
"309",-1.31,-2.330039,0.56,0.44,0.01
"310",-1.16,-0.430039,0.05,0.35,-0.31
"323",-0.16,0.499961,-0.08,-0.66,-0.02
"326",0.835,0.664961,0.605,3.275,0.015
"329",0.995,0.514961,0.075,-1.335,0.255
"330",-0.345,0.544961,0.085,0.515,-0.645
"334",0.05,0.219961,-0.24,-0.05,1.35
"336",-0.035,-1.215039,-0.135,1.035,1.555
"337",-0.81,-1.880039,-0.63,1.32,0.09
"340",1.46,1.129961,-0.23,-0.14,2.86
"342",0.785,1.844961,-0.015,0.725,0.055
"343",0.6450098,0.3549708,0.3950098,0.2550098,-0.1449902
"345",0.395,0.294961,0.015,0.645,-1.095
"347",-0.1975098,0.4224512,0.08249023,0.08249023,0.4724902
