"","V9","V10","V19","V31","V32","V33","V53","V54","V55"
"2",0.46,0.76,0.15,0.13,0.32,0.515,-0.4299805,0.16,0.01
"5",-0.005,-0.525,-0.095,0.135,0.475,0.33,0.7850195,-0.625,-0.015
"8",-0.515,0.175,0.225,-0.055,0.305,0.06,-0.1049805,0.435,-0.095
"10",-0.1149805,1.145019,0.7650195,1.005019,-0.2249805,-1.259980507,-0.644961,0.4650195,-0.8349805
"17",0.26,-0.69,-0.6,1.35,3.41,1.495,-0.8799805,-0.76,2.98
"23",-0.2949903,0.1250097,-0.4249903,0.06500973,0.07500973,-0.219990273,-0.004970741,-0.1849903,0.1850097
"28",0.2000097,0.4200097,0.3300097,-0.3199903,-0.5499903,0.475009727,-0.3599707,-0.3099903,0.5700097
"34",0.005,-0.455,-0.785,0.245,0.105,-0.25,0.4350195,0.065,-0.175
"36",-0.425,0.615,-0.535,0.455,0.475,0.62,0.5250195,-0.125,0.425
"40",-1.26,0.7,0.32,1.32,0.01,1.335,0.7600195,0.33,-0.02
"43",-1.705,-0.235,-0.605,0.385,0.775,0.91,1.17502,-0.385,-0.055
"44",-1.195,0.475,0.165,0.445,0.435,1.18,1.00502,-0.135,-0.445
"45",-1.24,0.04,0.27,-0.56,0.04,0.995,0.2800195,-0.06,0.65
"48",-0.0225,1.1275,-0.5525,0.4375,-0.0925,0.0225,0.4375195,-0.4725,-1.9325
"50",-0.46,-0.26,-0.72,-0.94,-0.31,0.515,0.1400195,-0.25,-0.68
"51",0.22,-0.09,0.2,-0.69,0.37,0.605,-0.7799805,-0.69,-0.04
"54",0.335,-0.265,0.145,-0.075,0.195,-0.48,0.2750195,-0.055,-0.005
"55",0.3550098,0.1550098,0.2950098,0.04500977,0.2650098,-0.319990234,0.3050293,-0.2649902,0.2250098
"61",0.4600195,-0.1299805,-0.8299805,0.2400195,0.3400195,0.155019493,0.510039,0.06001949,-0.3899805
"62",-0.005,0.205,-0.775,0.075,0.065,0.01,0.4150195,-0.175,-0.235
"88",-0.1825,-0.2025,-0.3825,0.0575,0.7175,0.2925,0.6075195,-0.1825,-0.1025
"106",-0.3,0.13,-1.727947e-18,-0.13,0.92,1.255,0.4100195,-0.17,0.07
"107",0.4125,0.7125,0.4425,0.4025,0.5025,2.0275,2.71252,-0.3075,-1.0475
"108",1.600019,1.800019,-0.2799805,-0.3899805,1.930019,2.285019493,2.170039,1.380019,0.4000195
"110",0.8549902,-0.7650098,-0.3250098,-0.1050098,1.75499,1.569990234,0.6950098,-0.1750098,-0.9250098
"112",-0.115,-0.715,-0.315,3.205,6.305,6.23,4.60502,-0.435,0.225
"114",0.3550098,0.1950098,-0.5149902,0.4650098,1.49501,1.050009766,0.5650293,0.5750098,0.3150098
"115",-0.05,-0.06,-0.57,-0.31,0.53,0.895,0.5700195,0.01,-0.59
"117",-0.4775,1.4325,-0.9875,0.9925,0.6025,0.3175,0.8625195,0.4225,0.0825
"118",-0.1049805,0.05501949,-0.1349805,1.125019,0.2650195,0.110019493,0.335039,0.8450195,-0.1949805
"132",-0.88,-0.03,0.8,1.17,-0.88,0.545,0.3300195,-0.71,-0.1
"145",-1.36,-1.37,1.36,-0.12,1.22,0.585,0.2200195,-0.81,0.11
"146",1.275,1.025,-0.715,-0.015,-0.405,-0.4,1.17502,-0.655,0.355
"151",0.055,0.785,1.215,1.775,0.095,0.68,1.69502,-0.275,-0.705
"152",0.26,0.87,1.11,1.87,-0.01,0.695,1.75002,-0.15,-0.94
"153",-0.46,1.14,1.03,1.47,0.66,1.075,2.95002,0.43,-0.3
"157",-0.26,-0.8,0.59,0.93,0.32,-0.955,1.71002,-0.12,0.16
"160",0.43,-0.22,-0.77,-0.27,-0.07,-0.345,0.3000195,0.32,-0.18
"161",0.26,0.16,-0.29,-0.27,0.07,-0.225,0.2100195,0.36,6.938894e-18
"162",0.105,-1.355,0.055,0.045,-0.365,-1.05,1.31502,-1.385,-1.075
"164",0.6075,-0.7925,-0.1525,0.6175,-0.6025,-0.9975,1.42752,0.2375,-1.1325
"166",-0.04500977,0.2749902,-0.2250098,-0.1850098,0.3049902,0.089990234,-0.004990234,-0.3450098,0.1549902
"172",-0.45,-0.16,-0.09,-0.28,0.01,-0.355,0.3700195,-0.13,-0.52
"175",-0.085,0.675,-0.015,0.045,0.345,0.07,0.5950195,0.165,-1.175
"180",0.725,1.155,-0.705,0.355,0.485,0.06,-0.3349805,-0.305,1.125
"181",0.9450098,0.5650098,-0.06499023,-0.03499023,0.5850098,-0.439990234,-0.3049707,0.06500977,1.05501
"184",0.41,-0.06,-0.69,-1.2,-0.02,-0.625,0.04001953,0.06,-0.12
"190",-0.215,-0.015,0.535,0.895,-0.335,0.65,-0.3749805,0.195,-0.335
"194",-0.4475,-0.4575,-0.0575,0.6625,0.4725,-0.0125,0.2225195,-0.7575,-0.4275
"200",-0.69,-0.66,-0.22,0.85,0.91,-0.555,-0.3399805,0.31,0.19
"201",-1.19,-1.95,0.02,1.76,1.5,-1.095,-0.07998047,0.49,-0.13
"205",-1.229981,0.9100195,0.3600195,3.160019,2.580019,-0.544980507,3.902435e-05,0.08001949,-1.029981
"217",-0.125,-0.675,-1.415,-0.135,0.015,1.06,0.1450195,-0.475,0.475
"218",-0.035,-1.225,-0.915,0.055,-0.005,0.24,0.005019531,-0.445,0.345
"220",-0.15,0.29,-0.84,0.25,0.9,0.825,0.05001953,0.57,0.05
"232",-0.1549902,-0.1649902,-0.4349902,0.4050098,1.15501,-0.059990234,0.8250293,-0.1749902,-0.5449902
"234",-0.01,-1.13,0.48,0.45,0.55,0.185,2.49002,-0.61,-0.45
"235",-0.445,-0.495,0.475,0.125,0.055,0.1,0.5150195,0.015,-0.205
"240",-0.2125,-0.8625,-0.2425,0.3575,0.6875,-0.0175,0.7075195,0.2475,-0.5825
"245",0.85,3.07,-0.95,1.49,2.51,1.155,2.65002,-1.48,-1.53
"247",-1.28,-2.17,-1.48,-0.07,1.78,-1.275,2.83002,0.08,-0.08
"250",-0.08,1.47,0.29,-0.39,-0.35,0.215,0.9800195,-0.83,-1.63
"251",0.51,3.26,0.7,-0.13,0.13,1.925,2.82002,-1.66,-1.58
"280",-0.99,0.98,-0.84,0.17,0.69,0.505,1.42002,-0.55,-1.68
"281",-2.56,1.63,-1.43,1.23,-0.01,0.905,0.6000195,-4.09,-4.33
"282",-0.51,-0.13,0.16,0.2,0.51,0.025,-0.01998047,-0.23,0.22
"298",-0.15,0.61,0.43,-1.29,-0.09,-0.815,0.9000195,-1.12,-1.62
"301",-1.475,-0.175,2.015,1.155,0.345,0.38,-3.93498,-0.045,-4.305
"302",-0.8025,-0.6725,0.9575,0.9575,0.0875,-0.1875,0.2075195,0.6975,-4.9525
"309",-0.41,0.16,0.46,0.95,0.78,0.395,1.66002,2.12,-0.08
"310",0.44,0.36,0.08,0.77,0.75,-0.055,0.3100195,1.2,0.46
"323",0.2,-0.3,0.73,0.73,-0.03,-2.335,1.71002,-0.18,-1.16
"326",-0.195,0.125,-0.095,0.265,0.175,0.44,1.49502,0.905,-0.185
"329",0.515,0.765,-0.065,-0.195,-0.165,-1.29,1.17502,-2.665,-2.585
"330",-0.415,-0.465,0.055,-0.495,-0.005,-0.51,0.3650195,0.205,0.425
"334",0.69,0.46,-0.13,0.07,0.64,-0.435,0.5300195,0.03,-0.01
"336",1.995,4.035,-0.475,2.475,3.085,1.72,2.48502,-0.935,-0.955
"337",1.92,4.12,-0.21,2.48,3.29,2.755,2.67002,-0.75,-1.14
"340",0.71,1.51,0.88,-0.07,0.74,0.465,-0.3699805,0.54,-0.9
"342",-0.325,-0.235,-0.575,-0.055,0.425,0.59,1.18502,0.295,-0.305
"343",-0.1549902,0.05500977,-1.13499,-0.3249902,0.3450098,0.330009766,0.3950293,-0.5449902,-0.4049902
"345",-0.785,-0.165,-1.315,-0.495,0.075,2.42,1.30502,0.225,0.035
"347",0.04249023,0.2224902,-0.4775098,-0.06750977,0.1424902,0.077490234,-0.02749023,-0.3275098,0.3624902
"349",-0.009990234,-0.1099902,-0.5499902,0.3400098,0.3700098,-0.414990234,0.7400293,0.6000098,1.12001
"352",-1.77499,0.03500977,-0.2249902,-0.4849902,-0.3849902,0.130009766,0.5650293,0.2350098,-0.7349902
"353",-0.015,0.555,0.005,0.075,0.455,0.19,0.4950195,-0.175,0.075
"354",-0.07,0.3,-0.26,-0.48,-0.01,0.615,0.2700195,-0.33,-0.15
"359",0.395,0.145,0.185,-0.205,-0.655,-0.83,0.4750195,-0.525,-0.015
"363",-0.375,0.215,0.315,-0.195,-0.165,-0.31,-0.1449805,-0.985,0.325
"366",-0.95,1.84,0.62,2.13,0.31,1.585,1.79002,0.44,0.1
"370",-0.2475,-0.1275,0.7325,0.1225,-0.1475,-0.0225,0.08251953,-0.0375,-0.2075
"383",-0.4575,0.1425,-0.7675,-0.2775,-0.1575,0.0275,-0.2374805,-0.4575,-1.1275
"393",0.02,0.17,-0.1,0.3,0.14,-0.445,-0.1099805,-1.42,-1.27
"399",0.1649902,-0.4750098,-0.4050098,0.4749902,-0.3350098,-0.090009766,0.05500977,0.1149902,0.4549902
"401",-0.785,-1.215,-0.295,-0.375,0.155,0.33,-0.2349805,-0.485,0.505
"402",-0.025,-1.265,-0.065,0.525,0.285,1.02,0.1550195,0.945,0.655
"407",1.01,-0.02,0.42,0.64,0.17,0.535,-0.9299805,1.24,0.21
"417",-0.465,-0.025,0.355,-0.615,-0.255,-0.14,0.6950195,-0.215,-0.505
"420",-0.2,-0.46,0.5,0.03,-0.25,0.075,0.9700195,0.02,-0.31
"428",-0.9350098,-0.9350098,-0.6850098,-0.04500977,-0.5450098,0.159990234,-0.004990234,-0.07500977,-0.5850098
"434",-0.145,0.085,0.345,-0.485,0.165,0.23,0.1650195,-0.255,-0.735
"435",0.065,-0.085,0.245,-0.315,0.265,0.7,-0.3249805,-0.025,-0.065
"437",-0.605,-0.495,-0.345,-0.005,0.015,0.8,0.02501953,-0.105,-0.005
"441",-0.31,1.07,-0.06,0.71,-0.31,-0.155,-0.02998047,-0.74,-1.51
"445",-0.21,0.55,-0.46,0.6,-0.72,0.055,1.10002,-1.1,-1.76
"452",0.485,0.605,0.085,0.175,-0.525,-0.31,-0.02498047,0.085,-0.575
"454",0.01499023,0.2249902,-0.02500977,0.004990234,-0.3450098,0.489990234,0.2250098,-0.2050098,-1.07501
"455",-0.335,-0.425,-0.015,0.055,-0.225,-0.32,-0.7649805,0.085,-0.255
"457",-0.29,-0.53,-0.1,-0.43,-0.22,0.085,-0.4299805,-0.29,-0.65
"460",0.74,0.79,-0.72,-1.21,-0.18,-0.595,0.01001953,0.01,-1.26
"463",-0.5750098,0.3549902,0.3849902,-0.2550098,0.1249902,0.389990234,0.01500977,-0.7550098,0.3049902
"468",-0.305,0.125,-0.425,-0.215,-0.405,0.76,-0.2549805,0.055,-1.065
"475",0.71,0.41,-0.29,0.73,-0.45,0.335,-0.1299805,0.2,0.5
"488",0.095,-0.115,0.465,1.085,-0.095,-1.37,0.7250195,0.755,-0.235
"491",-0.275,0.085,0.855,0.225,-0.175,-0.38,0.3850195,-0.715,0.115
"498",0.1275,0.0575,0.3775,0.0075,-0.1625,-0.0075,0.2975195,-0.1125,0.1375
"500",0.1925,0.0725,0.6425,-0.0175,-0.3675,0.0175,0.2525195,-0.1375,0.1225
"505",-0.2850195,0.6149805,0.2049805,0.05498047,0.2349805,0.469980469,0.485,0.06498047,-0.2450195
"508",0.2899902,0.8399902,0.6599902,-0.1700098,0.1399902,0.624990234,9.765625e-06,0.1799902,0.5199902
"511",0.19,0.02,-0.03,0.09,0.41,-0.075,0.1300195,-0.12,0.17
"525",-0.4199805,-0.4699805,0.3400195,-1.209981,0.1600195,1.005019493,-1.689961,0.5200195,-0.8699805
