"","V42","V43","V44","V45","V46","V47","V48"
"2",-0.320039,-0.62,-0.49,0.07001953,-0.12,-0.29,-0.8100195
"5",0.09496101,0.205,-0.205,0.2450195,0.555,0.005,0.1149805
"8",0.05496101,-0.155,-0.115,0.1550195,0.065,-0.025,-0.6650195
"10",0.004980507,-0.5449805,0.2950195,0.215039,0.3250195,0.4250195,-0.235
"17",-0.130039,0.08,-0.53,1.75002,2.96,2.15,1.53998
"23",-0.1750293,-0.3049903,-0.2549903,-0.1149707,0.04500973,0.7950097,-0.1750098
"28",-0.01002926,0.07000973,0.6600097,0.01002926,0.3000097,1.15001,-1.61001
"34",0.704961,-0.445,-0.275,-0.5049805,-0.095,-0.165,-0.1650195
"36",0.564961,0.245,0.245,-0.9849805,-0.015,-0.175,-0.6150195
"40",0.909961,-0.1,0.3,0.6200195,-0.11,-0.4,0.2299805
"43",0.954961,0.725,0.495,0.6150195,0.665,0.015,0.5849805
"44",0.854961,0.825,0.745,0.8050195,0.845,0.035,0.2949805
"45",0.479961,-0.17,0.45,0.2600195,-0.81,-0.24,0.05998047
"48",-0.132539,0.6575,-0.0425,0.2975195,0.6075,0.1675,-0.3125195
"50",-1.150039,0.18,0.17,0.05001953,0.32,0.12,0.5999805
"51",-0.720039,-0.28,0.18,-0.1099805,3.469447e-18,0.47,0.4699805
"54",0.454961,0.535,-0.225,0.8450195,-0.445,-0.075,0.1149805
"55",0.4949708,0.6750098,-0.2349902,1.005029,-0.2749902,-0.3349902,0.07499023
"61",-1.94931e-05,0.4000195,0.5400195,0.420039,0.7600195,-0.4999805,0.42
"62",-0.02503899,0.595,0.135,0.01501953,0.285,0.175,0.1249805
"88",-0.392539,-0.7525,0.4575,0.4575195,0.1875,-0.2225,0.2574805
"106",0.359961,0.22,0.41,0.6800195,1.21,0.4,0.5599805
"107",-0.347539,-0.1875,-0.0075,1.15252,0.3425,0.7625,-0.07751953
"108",0.01998051,-0.8199805,0.2800195,1.100039,1.550019,0.2200195,0.19
"110",-0.05504875,-0.7150098,-0.09500977,0.1050098,0.3749902,-0.5050098,0.2449707
"112",-0.725039,2.605,-0.565,0.5550195,6.685,5.725,0.09498047
"114",0.1949708,0.005009766,-0.02499023,0.2050293,0.5750098,0.9050098,-0.005009766
"115",0.389961,-0.39,0.05,0.2800195,0.24,0.08,-0.6400195
"117",1.122461,-0.2275,0.8425,0.9625195,0.2025,-0.7775,0.3824805
"118",0.5249805,1.155019,0.1350195,2.435039,0.2750195,0.3650195,-0.02500004
"132",-0.390039,2.18,1.07,0.8000195,0.48,0.87,-0.3000195
"145",-0.670039,-1.15,1.14,0.4000195,0.92,1.29,0.6099805
"146",0.654961,-0.125,0.155,0.01501953,0.215,-0.855,-0.1750195
"151",-0.555039,1.805,0.675,0.6950195,1.345,2.055,1.41498
"152",-0.350039,1.66,0.65,0.7600195,1.04,2.23,1.25998
"153",0.139961,0.81,1.02,0.4700195,2.39,-0.74,0.8399805
"157",2.809961,0.63,0.57,0.6600195,0.67,1.69,2.24998
"160",-0.160039,0.29,0.28,1.08002,-0.2,-0.02,0.4899805
"161",0.359961,0.18,-6.938894e-18,0.2800195,0.05,-0.1,-0.02001953
"162",0.444961,0.655,0.505,0.3150195,1.345,2.165,1.20498
"164",0.447461,0.5475,0.3775,0.5175195,1.6175,2.1275,1.43748
"166",0.01495125,-0.1150098,-0.09500977,0.05500977,-0.1450098,0.3349902,0.0949707
"172",-0.710039,-0.38,-0.14,0.5000195,0.71,-0.01,0.03998047
"175",0.424961,-0.205,0.645,1.45502,0.745,0.605,0.3649805
"180",0.214961,-0.105,1.255,1.66502,1.575,1.665,2.24498
"181",0.6049708,0.3950098,0.5950098,0.7550293,0.4150098,0.5050098,0.5549902
"184",-0.460039,-0.07,0.58,0.2300195,0.38,0.99,0.2399805
"190",-0.05503899,0.045,0.105,0.06501953,-0.485,0.895,0.1749805
"194",-0.387539,0.8025,-0.3775,0.3425195,-0.7175,0.7425,0.9824805
"200",-0.200039,-0.08,0.05,-0.05998047,0.26,-0.51,0.8599805
"201",-0.300039,0.04,0.66,0.3400195,0.85,-0.55,1.23998
"205",-1.94931e-05,1.130019,-0.6299805,0.190039,1.380019,2.490019,1.78
"217",0.224961,-0.355,0.205,1.06502,1.425,1.355,0.7449805
"218",0.154961,-0.055,0.275,0.6350195,0.775,0.995,0.3949805
"220",0.229961,0.45,0.5,1.26002,0.18,0.52,0.3799805
"232",0.05497078,1.40501,0.3050098,1.465029,2.03501,1.96501,1.67499
"234",0.619961,1.37,0.95,2.91002,2.07,2.62,1.25998
"235",0.05496101,0.825,0.475,1.04502,0.755,0.465,0.9149805
"240",0.737461,1.3175,0.5575,0.1175195,0.3075,1.2575,0.5874805
"245",0.819961,1.98,1.57,2.60002,1.63,2.18,2.41998
"247",1.859961,1.29,2.44,2.23002,1.99,2.36,2.75998
"250",1.009961,0.57,0.11,1.35002,0.52,0.31,0.8299805
"251",2.109961,1.98,1.46,2.58002,1.87,1.98,1.87998
"280",0.209961,0.34,-0.74,1.07002,1.23,1.29,2.77998
"281",0.469961,0.85,0.53,1.07002,1.36,0.24,-0.6500195
"282",0.739961,0.48,0.54,0.7900195,0.29,0.51,0.3399805
"298",1.499961,-0.48,0.56,1.17002,0.38,-0.62,0.3699805
"301",0.494961,-0.585,-1.015,2.83502,0.215,1.625,1.54498
"302",-1.652539,-1.2825,-1.3225,0.8775195,-0.5525,1.5875,0.2774805
"309",0.469961,1.44,1.27,1.98002,2.04,3.63,-0.02001953
"310",0.859961,0.14,-0.07,0.5300195,-6.925341e-18,0.43,-0.1800195
"323",0.399961,0.95,1.44,0.8600195,1.06,2.02,0.5899805
"326",-0.205039,-0.455,-0.555,0.6250195,0.215,2.675,0.5049805
"329",0.104961,0.415,-0.015,1.57502,0.595,0.375,0.6049805
"330",0.604961,-0.075,-0.085,0.7650195,0.345,2.195,-0.4650195
"334",0.209961,0.23,0.45,0.9500195,0.21,0.17,0.3099805
"336",0.07496101,-0.095,0.045,0.8750195,0.225,0.075,0.2449805
"337",0.139961,0.59,-0.08,0.4300195,0.23,0.27,-0.5100195
"340",0.329961,1.19,0.99,0.9700195,1.61,0.33,1.10998
"342",0.474961,0.315,0.885,0.9650195,0.555,0.415,0.1249805
"343",0.1349708,-0.07499023,0.5250098,0.5350293,-0.01499023,-0.08499023,0.01499023
"345",0.414961,-0.285,0.235,0.5950195,0.445,0.275,1.28498
"347",1.032451,0.2224902,0.4724902,0.6125098,0.03249023,-0.1775098,0.5824707
"349",0.3399708,0.7900098,0.8000098,0.6400293,0.6600098,0.4600098,0.8599902
"352",0.2349708,1.07501,1.06501,0.4650293,-0.2049902,0.7450098,1.45499
"353",-0.02503899,-0.005,0.145,0.4550195,0.285,0.165,0.7749805
"354",-0.130039,0.38,0.32,1.00002,0.31,0.64,0.9799805
"359",-0.06503899,0.015,0.015,0.7250195,0.305,0.825,0.8249805
"363",0.144961,0.385,0.315,1.27502,0.075,0.665,0.4849805
"366",-0.200039,0.21,0.28,0.2800195,0.51,0.61,0.08998047
"370",-0.417539,0.1025,-0.0875,0.1425195,-0.1075,1.0625,0.3924805
"383",0.252461,0.6825,-0.0675,0.2025195,-0.8175,0.8825,0.2824805
"393",0.04996101,0.53,1.34,1.30002,1.26,1.62,0.9799805
"399",0.5149512,0.7049902,0.2349902,0.01500977,0.1449902,0.9149902,0.3549707
"401",0.764961,0.795,-0.375,0.5950195,0.685,1.685,1.31498
"402",0.09496101,0.905,0.145,-0.1449805,0.155,1.585,0.6049805
"407",0.489961,0.75,0.23,-0.07998047,-0.19,2.75,-0.6200195
"417",-0.495039,0.495,-0.045,0.7150195,0.755,1.445,0.1149805
"420",0.439961,-0.1,0.5,0.3600195,0.9,1.57,-0.04001953
"428",0.3149512,1.03499,1.10499,0.5850098,1.31499,1.82499,1.014971
"434",0.674961,1.495,1.375,0.7250195,0.495,0.965,0.4849805
"435",0.354961,1.415,0.925,0.2050195,0.035,0.885,0.6949805
"437",0.214961,0.465,0.005,-0.2349805,0.055,0.565,0.1149805
"441",0.929961,1.74,0.67,0.4500195,0.84,1.78,1.05998
"445",0.349961,0.86,0.94,1.75002,1.54,3.27,0.4699805
"452",-0.03503899,0.885,0.355,0.3250195,0.805,-0.385,0.6449805
"454",0.2349512,1.31499,0.1949902,-0.004990234,0.2749902,-0.4950098,0.2649707
"455",-0.01503899,0.805,-0.285,0.3250195,-0.005,1.655,0.5649805
"457",0.009961014,0.48,0.04,0.6200195,0.15,1.79,0.1599805
"460",0.06996101,0.94,0.6,0.3000195,0.31,0.98,0.1799805
"463",0.2349512,-0.4050098,-0.06500977,-0.004990234,0.004990234,0.2649902,1.284971
"468",-0.03503899,-0.015,0.395,0.3650195,0.405,0.875,0.6949805
"475",0.02996101,0.75,-0.18,-0.3499805,0.44,1.22,0.2099805
"488",0.444961,0.005,0.735,0.5750195,-0.215,-0.705,-0.3550195
"491",-0.385039,0.015,0.955,1.47502,0.725,-1.275,0.6649805
"498",-0.262539,0.6075,0.1775,0.2075195,0.4775,-0.2825,0.09748047
"500",-0.137539,0.7625,0.1725,0.1525195,0.4325,-0.4575,0.1324805
"505",-0.2250585,0.6849805,0.7449805,0.005,0.05498047,0.06498047,0.3149609
"508",0.1899512,-0.1200098,0.4999902,0.5900098,0.1199902,-0.4300098,-0.2100293
"511",0.129961,-0.16,-0.11,0.5200195,-0.17,-0.49,-0.8000195
"525",0.09998051,0.4800195,0.5800195,0.120039,0.5200195,-0.5199805,-0.13
"526",-0.1000195,0.05001949,0.4800195,0.130039,0.3600195,-0.6999805,0.18
"534",0.3849805,-0.06498051,0.3450195,-0.474961,-0.2249805,-0.6249805,0.125
"546",0.06996101,-0.05,-0.15,-0.1399805,0.17,0.63,0.2799805
"551",-0.155039,-0.195,0.025,-0.3549805,-0.295,-0.155,-0.1250195
"557",0.01496101,0.495,0.125,-0.4349805,0.165,0.625,0.3949805
"559",-0.310039,-0.45,-0.06,-0.7499805,0.32,0.45,0.3199805
"566",-0.585039,0.735,-0.685,0.1350195,-0.375,0.745,0.7049805
"582",0.04996101,-0.05,-0.06,0.2500195,-0.01,0.21,0.3599805
"583",0.254961,0.365,-0.065,0.5050195,-0.085,-0.205,0.5149805
"587",0.03497078,0.1250098,0.1450098,0.3150293,-0.1749902,-0.5949902,0.7549902
"593",-0.2525195,0.06751949,0.03751949,0.587539,-0.08248051,-0.5124805,0.6575
"595",0.169961,1.42,0.13,1.14002,0.2,-0.3,1.27998
"597",0.594961,0.225,0.405,0.6250195,-0.155,0.195,0.3349805
"603",-0.310039,-0.36,-0.46,0.08001953,-0.63,0.07,-1.953125e-05
"604",0.279961,0.41,0.64,0.9800195,-0.99,-0.42,-1.07002
"612",-0.01503899,-0.285,0.435,0.4150195,0.275,0.225,0.5749805
"614",-0.275039,0.075,-0.295,-0.2649805,-0.565,-0.945,-0.1950195
"619",0.554961,-0.095,-0.215,-0.2049805,0.275,0.005,-0.2850195
"623",0.05996101,0.08,1.34,0.8200195,-0.05,-0.07,1.21998
"624",-0.232539,-0.6325,-0.0825,1.29752,0.0175,0.6875,-0.5925195
"629",0.004980507,0.2850195,-0.6149805,0.02503902,-0.4849805,-0.1749805,0.145
"632",0.09997078,-0.2999902,0.2500098,-0.4799707,-0.6899902,9.765625e-06,0.1799902
"640",0.554961,-1.015,-0.405,0.4550195,0.075,-0.045,0.2249805
"641",0.464961,-0.125,-0.255,0.6750195,0.095,-0.305,0.1949805
"642",0.389961,-0.12,-0.39,0.5400195,-0.06,-0.31,0.1599805
"646",0.904961,0.425,0.295,1.54502,0.675,0.025,0.3449805
"650",0.224961,-0.275,-0.265,0.5650195,-0.145,-0.155,-0.02501953
"656",0.664961,0.005,-0.185,0.7150195,0.065,0.515,2.10498
"658",-0.135039,-0.295,-0.165,-0.1249805,-0.155,-0.165,1.45498
"666",0.2849708,0.07500977,-0.07499023,0.7150293,-0.4249902,-0.1449902,0.004990234
"667",0.154961,-0.015,-0.005,0.7550195,0.045,-0.385,-0.06501953
"670",0.2099708,-0.7899902,-0.1799902,0.5400293,-0.07999023,0.7900098,0.03999023
"672",-0.185039,-0.355,0.155,0.1450195,0.525,-0.615,0.08498047
"675",0.309961,-1.16,0.19,-0.1899805,0.07,0.48,1.18998
"678",0.389961,-0.04,0.01,-0.2699805,-0.1,0.24,-0.07001953
"679",0.119961,-0.04,0.09,0.08001953,0.13,-0.16,-0.5600195
"680",0.08495125,-0.1350098,0.004990234,-0.004990234,-0.4150098,-0.2350098,-0.4350293
"681",0.149961,-0.37,-0.24,-0.06998047,-0.23,0.01,-0.09001953
"682",-0.6850488,-0.6550098,-0.06500977,0.1650098,0.1349902,0.03499023,0.0849707
"683",0.569961,-0.36,-0.31,0.5000195,0.32,-0.48,1.35998
"684",0.389961,-0.21,-0.35,0.5400195,0.26,-0.17,1.53998
"687",-0.590039,-0.58,-0.42,0.07001953,-0.55,-0.8,0.1599805
"699",-0.03753899,0.2225,-0.3275,-1.31748,-0.5975,-0.0475,0.2624805
"704",-0.05503899,-0.125,-0.065,-0.2649805,0.285,0.055,0.4449805
"710",-0.220039,-1.36,0.38,1.37002,0.9,0.06,0.2699805
"711",-0.285039,-1.175,-0.055,1.49502,0.735,-0.005,0.2249805
"712",-0.2700292,-1.28999,0.2200098,1.260029,0.7600098,0.3300098,0.6499902
"716",-0.155039,-0.385,-0.175,-0.07498047,-0.195,0.225,-0.1950195
"721",0.09996101,-0.37,-0.14,-0.1199805,-0.04,-0.13,-0.1000195
"722",-0.2350488,0.1849902,-0.1250098,-0.6249902,0.03499023,-0.01500977,-0.2750293
"723",-1.94931e-05,0.3000195,-0.2199805,-0.509961,0.1200195,0.02001949,-0.45
"726",0.534961,0.065,-0.325,0.3150195,0.165,-0.085,0.01498047
"733",0.3349512,0.1949902,0.07499023,0.3850098,0.1449902,-0.4750098,-0.3150293
"735",-0.180039,-0.13,-0.24,0.5800195,0.4,-0.18,-0.04001953
"736",0.139961,0.05,0.02,0.3800195,0.23,0.1,-0.8500195
"738",-0.02503899,0.005,0.625,-0.09498047,0.585,0.115,0.1649805
"740",-0.4325488,-0.002509766,-0.5625098,-0.4724902,0.2974902,0.1274902,-0.2525293
"744",-0.05753899,0.0025,0.1725,0.01251953,0.2625,0.1425,-0.3075195
"745",-0.2650292,-0.4249902,-0.3549902,0.1850293,0.05500977,-0.1349902,-0.7650098
"751",-0.02253899,-0.3025,0.4475,0.9875195,1.0075,1.1475,1.61748
"758",0.189961,0.23,-0.08,-0.2799805,0.28,-0.33,0.5499805
