"","V23","V56","V59","V60","V61","V62","V63","V64"
"2",-0.49,-0.62,0.65,-0.03,-0.27,0.21,-0.05,0.35
"5",-0.185,1.585,-0.065,-0.195,1.045,0.045,0.045,-0.715
"8",-0.425,-0.165,0.315,0.105,-0.675,-0.675,-0.305,0.475
"10",-0.5349805,0.02501949,0.7250195,0.8750195,0.2750195,0.9450195,0.06501949,0.9150195
"17",0.84,0.01,0.44,1.03,0.2,-0.36,-0.21,0.07
"23",0.2550097,-0.3249903,-0.4449903,-0.1449903,0.09500973,0.3050097,-0.09499027,-0.2849903
"28",-0.2199903,0.5200097,-0.03999027,-0.9899903,0.8300097,0.5000097,-0.5099903,-0.3199903
"34",0.795,-0.105,0.625,0.285,-0.115,0.795,0.235,1.015
"36",0.305,0.165,0.315,0.135,-0.155,0.435,-0.195,0.485
"40",-0.21,0.34,0.04,-0.23,-0.22,0.1,-0.51,0.43
"43",-0.155,0.115,0.315,-0.245,-0.465,0.245,0.085,0.005
"44",-0.565,0.615,-0.445,-0.065,-0.245,0.535,0.015,0.015
"45",0.3,0.79,-0.05,-0.27,-0.09,0.63,-0.92,-0.22
"48",-0.3625,-0.0325,-0.3525,-0.0925,-0.4425,-0.2025,0.0875,-0.5125
"50",-0.05,0.27,0.07,0.41,-0.74,-0.67,-0.18,0.31
"51",0.57,-0.47,-0.02,-0.07,-0.51,-0.36,-1.27,-0.48
"54",-0.305,-0.105,0.175,-0.325,-0.245,-0.255,-0.615,0.005
"55",-0.3249902,-0.1049902,0.3450098,-0.3249902,-0.5049902,-0.3349902,-0.6849902,0.3050098
"61",-0.1599805,0.2100195,0.1800195,-0.01998051,0.4100195,-0.7699805,-0.7799805,-0.2799805
"62",0.505,0.195,-0.055,-0.015,0.235,-0.435,-0.045,-0.235
"88",0.0675,0.3075,-0.6825,-0.2025,-0.3425,-0.9225,0.0375,-0.8425
"106",-0.08,0.06,-0.55,-0.35,-0.78,-0.86,-0.52,-0.59
"107",-0.4975,1.5125,-0.7775,0.2825,-0.4375,-0.5775,-0.6775,0.3325
"108",0.3100195,1.280019,-0.6899805,-0.3399805,-0.01998051,-0.8199805,0.06001949,0.1600195
"110",-0.5250098,0.9349902,0.2549902,-0.2250098,0.2449902,-0.5350098,0.2149902,0.3849902
"112",-0.525,-1.175,-0.805,0.015,-0.355,-0.775,-0.945,-0.675
"114",-0.5249902,-0.04499023,-0.05499023,-0.4349902,-0.7949902,0.005009766,-0.2149902,-1.39499
"115",-0.37,-0.7,-0.65,-0.03,-0.82,0.47,-0.61,-0.52
"117",0.0725,-0.4075,-0.5675,-0.7775,0.4625,-0.5575,-0.8875,-1.0275
