"","V22","V25","V26","V27","V28","V29"
"2",0.43,-0.01,0.64,-0.48,0.14,0.64
"5",-0.635,0.395,0.315,0.425,1.715,-0.205
"8",0.015,0.595,0.285,0.215,-0.015,0.315
"10",-1.654981,0.1050195,1.125019,-0.05498051,-1.224981,-0.5449805
"17",-0.24,-0.06,-0.05,1.71,-1.96,-0.49
"23",0.2350097,0.03500973,0.6850097,-0.2149903,0.1550097,-0.03499027
"28",1.02001,-0.02999027,0.8100097,0.1600097,0.2700097,0.1100097
"34",-1.085,2.505,2.745,0.405,-0.155,0.265
"36",-0.115,1.835,1.475,-0.005,0.705,-0.115
"40",-0.04,-0.14,-0.11,0.14,0.39,-0.21
"43",-0.445,-0.125,0.395,-0.035,-0.265,-0.085
"44",-0.115,0.315,-0.145,0.485,-0.215,-0.195
"45",0.23,0.46,0.33,0.43,0.18,0.16
"48",1.0075,0.3275,1.2175,-0.0425,0.5975,-0.5025
"50",-1,0.76,1.88,0.71,-0.31,0.02
"51",0.44,1.66,2.5,0.25,0.04,0.18
"54",-0.015,0.665,0.565,0.965,-0.045,-0.475
"55",-0.01499023,0.5550098,0.5750098,1.02501,-0.3549902,-0.7949902
"61",0.3800195,-0.2499805,1.320019,-0.1099805,1.94931e-05,-0.6899805
"62",0.435,0.005,-0.145,0.305,0.095,0.145
"88",0.0075,-0.5625,-0.8625,-0.2925,0.4775,0.4775
"106",0.09,-0.07,-0.52,0.14,0.19,0.22
"107",0.6625,0.5425,1.2425,-0.7175,0.6025,-0.3175
"108",-0.02998051,0.6400195,-0.9499805,0.5600195,0.1600195,-0.6499805
"110",-0.5950098,-0.07500977,0.2849902,0.5949902,0.07499023,-0.6450098
"112",-0.405,2.835,-0.985,-0.265,3.895,0.045
"114",0.9750098,-0.04499023,1.20501,0.05500977,0.9250098,1.14501
"115",0.58,-0.37,0.33,-0.6,0.52,0.88
"117",0.2225,1.2725,-0.3475,1.3525,0.9025,0.6125
"118",-0.03498051,2.165019,-0.3649805,-0.3649805,1.375019,0.7750195
"132",-0.12,2.82,1.75,1.04,1.01,0.2
"145",-0.51,0.3,0.38,0.29,-3,-0.66
"146",-0.725,1.905,0.355,0.155,0.625,0.405
"151",-1.395,0.155,-0.125,0.555,0.155,1.355
"152",-1.14,0.05,-0.23,0.68,0.14,1.39
"153",-1.24,0.13,-1.77,0.4,-0.74,0.99
"157",-0.29,-0.36,-0.18,0.79,0.53,1.06
"160",0.64,0.18,1.22,-0.15,0.55,-0.53
"161",0.59,-0.01,0.02,-0.96,0.27,-0.2
"162",-0.565,-0.645,-0.135,-1.645,0.595,-0.475
"164",-0.3425,-0.2125,-0.0425,0.8375,0.4475,-0.5725
"166",0.4849902,-0.4550098,-0.8850098,0.08499023,0.004990234,0.09499023
"172",0.12,-0.33,0.22,-0.66,-0.22,-0.69
"175",-0.105,-0.485,-0.865,0.295,0.155,-0.215
"180",0.255,0.195,0.245,0.575,0.505,-0.075
"181",0.7450098,1.60501,0.1450098,1.93501,-0.08499023,-0.03499023
"184",0.42,0.43,0.27,-0.55,0.16,-0.48
"190",-0.685,0.375,-0.005,0.445,-0.105,0.035
"194",0.6125,0.6125,0.5625,0.5725,0.1825,-0.1075
"200",0.12,0.13,0.36,0.41,-0.01,-0.44
"201",0.29,0.01,0.22,0.78,-0.03,-2.79
"205",-1.419981,-0.6999805,1.080019,2.780019,2.310019,0.1700195
"217",-0.585,0.345,0.885,0.315,0.145,0.685
"218",-0.645,0.135,0.525,0.105,0.065,0.395
"220",-0.19,0.13,0.16,0.67,0.58,-0.53
"232",0.1250098,-0.2849902,-0.3849902,-0.04499023,-1.37499,-0.4349902
"234",0.22,-2.01,1.35,1.34,0.89,1.82
"235",-0.295,0.475,1.565,0.395,-0.245,-0.465
"240",1.9475,1.7575,2.5375,1.2375,1.3375,0.4775
"245",1.58,1.41,1.58,0.05,0.2,0.83
"247",0.14,3.53,2.72,0.87,2.29,1.56
"250",-0.34,0.4,0.47,0.49,0.35,3.469447e-18
"251",-1.39,1.89,1.78,1.41,1.75,0.7
"280",-1.2,0.72,1.49,1.23,-0.22,0.69
"281",-1.29,0.31,0.68,1.72,2.19,-0.77
"282",-0.7,-0.26,0.33,0.6,0.29,-0.04
"298",0.36,0.51,-0.21,0.16,0.15,0.02
"301",-1.035,0.605,-1.495,-0.615,2.065,0.485
"302",-1.1425,-1.1225,0.2975,-0.3425,0.1375,-0.4825
"309",-0.53,0.41,0.14,0.25,0.6,0.46
"310",-0.33,-0.3,-0.04,-1.14,-0.03,1.03
"323",0.03,0.22,1.36,0.02,-1.29,-0.17
"326",-0.085,-0.015,-0.045,-0.365,0.565,0.645
"329",-0.255,-1.125,0.825,0.185,1.555,0.275
"330",-0.275,0.245,0.165,-0.385,0.005,-0.575
"334",0.71,0.2,-0.26,0.06,-0.19,0.15
"336",1.915,2.075,3.605,-0.135,1.855,0.915
"337",2.21,2.38,2.76,-0.04,1.81,0.9
"340",1.23,2.98,1.73,1.39,-1.1,0.57
"342",-0.445,-0.125,0.735,0.385,0.935,0.415
"343",0.4150098,-0.6749902,-0.1249902,-0.1349902,0.3950098,0.3550098
"345",-0.145,-0.275,-0.215,-0.365,0.995,-0.015
"347",0.3324902,-0.02750977,0.09249023,0.6024902,0.6024902,0.3924902
"349",0.4200098,-0.009990234,-0.4499902,-0.1399902,0.1500098,0.5000098
"352",-0.3149902,-0.5749902,0.5450098,-0.3149902,0.8550098,0.8450098
"353",0.615,0.225,0.405,-0.075,0.015,0.205
"354",0.01,-0.42,-0.43,-0.02,0.73,0.44
"359",0.425,0.425,-0.315,-0.515,-0.715,0.105
"363",1.195,1.485,1.085,0.015,0.575,0.205
"366",-0.53,1.74,-0.23,-1.29,0.61,1.26
"370",-0.1675,-0.3375,-0.1975,-0.4375,0.0625,0.4425
"383",-0.6375,0.8725,-0.2675,-0.4075,0.1525,-0.1675
"393",0.06,-0.02,0.19,-0.31,0.36,-0.4
"399",0.04499023,-0.2450098,-0.2650098,0.4349902,0.3249902,-0.2550098
"401",-0.295,-0.595,-0.845,0.085,-0.355,0.205
"402",-1.305,-0.475,-1.015,-0.405,0.475,0.105
"407",-0.52,-0.65,0.2,0.02,1.49,0.09
"417",-0.375,-0.055,-0.185,-0.005,-0.305,0.135
"420",-1.08,-3.22,-0.26,0.3,-0.08,-0.28
"428",0.5149902,-0.03500977,0.3749902,-0.3650098,0.3949902,0.5049902
"434",0.425,0.785,-0.405,0.215,0.075,0.375
"435",0.565,0.025,-0.425,0.095,-0.185,0.135
"437",-0.385,-0.175,0.225,0.425,-0.445,0.115
"441",0.01,-0.54,0.21,1.1,2.52,2.1
"445",-0.34,-2.59,-0.3,0.54,-0.59,0.8
"452",0.945,0.415,-0.185,0.095,0.065,0.055
"454",0.7549902,0.1749902,0.3049902,0.1349902,0.03499023,0.6649902
"455",0.935,-0.215,-0.155,-0.065,0.455,0.155
"457",1.15,0.66,-0.59,-0.3,0.83,0.1
"460",1.34,-0.63,-0.51,0.46,-0.39,-0.39
"463",-0.3750098,0.05499023,-0.5650098,-0.02500977,0.2549902,0.4649902
"468",-0.535,-0.325,-0.065,0.415,0.325,0.005
"475",-0.83,-0.69,-0.14,-0.13,0.19,0.35
